title,source,date,url,category,thumbnail
FIFA World Cup Clear Bag Policy: Here’s What You Can and Cannot Bring to the Stadium,Rolling Stone,2026-06-06 11:58:45,https://news.google.com/rss/articles/CBMizwFBVV95cUxQVmhoLTV6S3hoaE12eVQ3UW9qSWUxZkp5LW9yY21WR0tkbkxEVFprQ01GOHNLRF8zY01KTUx0NjRaeUhBbklKaGlfNWdTQ2xUTmVVWVZLRVNObnVaMjJtUU9OVjQtc05NZ0ZfSkZBR2VUYVdXS2E5NnYwcWFTN2FmdmQ3MHBycTYxZ1MyS1AtRTRqTGltNzd4MHFXUE9Kb2FRZUNibkxlcC1oVjEyb21NaHNJY0JnOHE4WkRJQ21JeUNnMExxZlp3TXh1TUx5R2c?oc=5,venues,
FIFA reverses World Cup water bottle ban after backlash,ESPN,2026-06-05 23:27:00,https://news.google.com/rss/articles/CBMingFBVV95cUxNcFFjdmFab0hseG5QVEFIQWJOai1RRVlNNmpWaVV3dmlMMU9kYloxMWpqMEV2TWhySmswNkRoMG1GUlA1QkdYZ0tLSEVDd3h5aHJTR2ZEdWxxMUpZWXVjNlJraWc5UW1lcERxWi1YUXByVWQ1eWJCLVY1Qm81Wkk1WndwR2ttR2RZNU45SlN3NlF1ZXFNdmlfWUJnaVA0Zw?oc=5,other,
FIFA ends water bottle ban after outrage; brutal World Cup heat looms,The Weather Channel,2026-06-05 10:39:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQa0tkZkZfUWo4UlBvNGxrcU1tcF9zdktNUlZ6cnJLVWFueWozRTJ5RjNoektGQ3hzUWM4MlVpZTcyTURma1FveGxESmJQQ3pRb1FGZDZnS0xFZ1huSXFzYTVuZTZOcm95ZjdkNGZoRHlscVppVmpDWGY1eUxlcG9Fd3U2dXQ4V0YyLXR6WEljeXB1dFFuZnJhQ0ppR2lzRHlsX0pHcEFjemZsMHlzM0JGQUJvMTJEVnMz?oc=5,injuries,
World Cup 2026: Fifa says disposable water bottles can be brought into stadiums,BBC,2026-06-05 23:10:00,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9oMkhoSnNCY29Eak1KejVyMDhlVW9laFg5UTZOcGpKeGhSeU1ZVmxaRjVmdEVYc21QYldVbTNXZEw3ZWVWZDlZb3JXYmdoTlhoYjdteHdMM1V2QkFOc0xPOWwtNUxwLTg?oc=5,venues,
Iran says staff blocked from entering US after players given World Cup visas,BBC,2026-06-06 11:56:25,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5UczJkcGFDVG1nTnQ4dUhhMjlidjhqMllTTUIwQ1FCVnFTWGVLdmpvMmVrcHdkdHA5aWVFeDdueUxFaHBkQXI3dGpXSFhvYlRQWmFHMXRNZ0FnZw?oc=5,other,
Iran players receive U.S. visas for 2026 World Cup,ESPN,2026-06-05 20:54:00,https://news.google.com/rss/articles/CBMilwFBVV95cUxQWktqc0xGZGd5cVdIS1lCbkx6OVhUN1BEdDBVcVBlTVNUaVp4V1lIcWNmRWdrZk9nbDhEYWxGNElfVGVFZk1fSUJ0SE1PMllJZ2ozdDZYdVFCTm1lRjlCZGZVdzhpWjlnV1dQbFViMm9uOU9FNmtfNjhtZU9nR3VpLUQwS3NMbFJkenZ0MDhTYnVrUGs4MnVj?oc=5,other,
Iran 2026 World Cup squad heads to Mexico as US visa dispute erupts,Al Jazeera,2026-06-06 12:11:10,https://news.google.com/rss/articles/CBMirgFBVV95cUxPV2k3ckdScHh4YkJJVW1WT2pmbXdMaklHbDk2bHVjbk9iTm9CN3BHR1d0cmZ6bWZRSEJVOHNwelBVV1Y2aExVTWFNaTl0MjRTYUFTUS04RFpCWlR1UlV4Vnh4RE90LVF1OHlpaUtoa0JVaWNmYkxHTlZiWlVIQnFyRENyNEN3SHBDRDNQS1lkalQyUlBiSTc4X05hUDFpWkdNVXluMUt2N3JDYnVJbVHSAbMBQVVfeXFMTVk4OS1xSjJNYVczcmR4WUJINkhETUFRZnRtdTQ4bnhycXhxckVPa3hoVy1ncWE0UDNLeXlNUjlOWHZVY0tpODRXUm5kY0QyTHhXOVJPTmNrTnpoalZKQTlwQnpMQ09peHMyVS1nb3NLQUZhMm5BTTRiT0wwWHVlS3hhdVlDV0FfZk56dnVMeXJOVVFDMXZsTHN2ek42WUNpQzMxYndoMzZqZFE1REtjb3JPVVk?oc=5,other,
A FIFA ticketing error allowed roughly 60 fans to purchase World Cup tickets for $0,Yahoo Sports,2026-06-04 22:45:22,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQOVNXdUp0TkVPY0M2Uk1IdUliM0RqUGVTUnlLSG5HZUt3WkJ0NVFEcU5XS05iSjhqeEJUcVNrU0VfQTFpbldmbTRrcVVOd0JZX3hyVWFvMm5UODJvV3JKR24yZFNuT3cyYnVYRW04Z2otUXZHTG9WS2ZoT2w5SDFWblJ1YnFzaFRLUFlHX0VnLVUxSm90SkZzeXhGT0ZGVEVqVVN2ZVNSYkVQRUNoOFBsVTM1Q3psYVE4NzgzbDlZY29abmljaE9UajBhRzE5cmZuc0Zr?oc=5,tickets,
Fifa regrets free ticket error but demands fans pay,BBC,2026-06-05 09:10:45,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5ZejhaQ2g2QnkzQnk0cTh0alZyTEd6bjkxTUs2OFlyWURuRWd2TTVuakNjOFU0MFJOZXk1NHpoMjRDNkRhaGFYcVB1dk5VSjlkck1vWmNHZlQ1V29kTkZYRWV2TGw1U3c?oc=5,tickets,
The World Cup is being played in my hometown. Can’t say I’m excited | Dave Schilling,The Guardian,2026-06-06 12:48:00,https://news.google.com/rss/articles/CBMigwFBVV95cUxNWHE0czBFZUloN2RiclNVbGRvU2VVWkUxOS10eC1MNnVHR3FUVkhWcV9VSEZ1WkI0OXM2VzA1elZ1QUtsek92UjlKQnAzZEp4X1ZqUms0MHcxbExTSDdIbEpEQ05pcnR3ZFBKcmdyeXlwTDdQcVY3X0RxWk0tbkVxNWVERQ?oc=5,other,
